Algorithm	File	Fitness	Time(s)	Evals
IteratedLocalSearch (BL)	GKD-b_5_n25_m2	0	0.000237365	469
IteratedLocalSearch (BL)	GKD-b_6_n25_m7	19.9622	0.00193135	2459
IteratedLocalSearch (BL)	GKD-b_7_n25_m7	22.1531	0.00195939	2451.6
IteratedLocalSearch (BL)	GKD-b_8_n25_m7	23.9671	0.00214266	2548.4
IteratedLocalSearch (BL)	GKD-b_9_n25_m7	23.6584	0.00237649	2844.6
IteratedLocalSearch (BL)	GKD-b_10_n25_m7	27.1115	0.00206777	2614.6
IteratedLocalSearch (BL)	GKD-b_11_n50_m5	7.43602	0.00311231	3958.4
IteratedLocalSearch (BL)	GKD-b_12_n50_m5	7.66616	0.00281391	3859.6
IteratedLocalSearch (BL)	GKD-b_13_n50_m5	4.97699	0.00318094	4357
IteratedLocalSearch (BL)	GKD-b_14_n50_m5	6.98858	0.00347666	4396
IteratedLocalSearch (BL)	GKD-b_15_n50_m5	8.81113	0.00368082	3786.4
IteratedLocalSearch (BL)	GKD-b_16_n50_m15	72.3387	0.0185628	12544.6
IteratedLocalSearch (BL)	GKD-b_17_n50_m15	72.4055	0.0196162	15268.2
IteratedLocalSearch (BL)	GKD-b_18_n50_m15	66.2381	0.0162315	12685
IteratedLocalSearch (BL)	GKD-b_19_n50_m15	69.6	0.0170312	13576.8
IteratedLocalSearch (BL)	GKD-b_20_n50_m15	62.0898	0.0183153	14195.4
IteratedLocalSearch (BL)	GKD-b_21_n100_m10	26.0884	0.0220421	19540.4
IteratedLocalSearch (BL)	GKD-b_22_n100_m10	26.2597	0.0208419	18305.6
IteratedLocalSearch (BL)	GKD-b_23_n100_m10	28.0267	0.0248479	20131.6
IteratedLocalSearch (BL)	GKD-b_24_n100_m10	29.0484	0.0222936	18713.6
IteratedLocalSearch (BL)	GKD-b_25_n100_m10	26.2633	0.0229539	20109.8
IteratedLocalSearch (BL)	GKD-b_26_n100_m30	237.715	0.152145	62614.2
IteratedLocalSearch (BL)	GKD-b_27_n100_m30	206.149	0.139949	62450.4
IteratedLocalSearch (BL)	GKD-b_28_n100_m30	208.672	0.152726	67864.2
IteratedLocalSearch (BL)	GKD-b_29_n100_m30	189.717	0.139393	64675.4
IteratedLocalSearch (BL)	GKD-b_30_n100_m30	217.713	0.137155	58970.6
IteratedLocalSearch (BL)	GKD-b_31_n125_m12	29.2826	0.0520982	41756.8
IteratedLocalSearch (BL)	GKD-b_32_n125_m12	34.796	0.0325466	27198.8
IteratedLocalSearch (BL)	GKD-b_33_n125_m12	30.4717	0.0369323	33397
IteratedLocalSearch (BL)	GKD-b_34_n125_m12	34.2542	0.0360549	30208.4
IteratedLocalSearch (BL)	GKD-b_35_n125_m12	33.9117	0.0378888	31026.6
IteratedLocalSearch (BL)	GKD-b_36_n125_m37	265.941	0.254458	82206.6
